Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-05-06,Bitcoin,12604.63,51528.1,8806.13
2023-05-06,Ethereum,48550.67,31062.63,5556.04
2023-05-06,Ripple,19142.03,54990.3,5713.7
2023-05-06,Litecoin,27373.86,31245.07,2728.82
2023-05-07,Bitcoin,36123.18,41470.53,6924.55
2023-05-07,Ethereum,59780.31,37079.02,2998.11
2023-05-07,Ripple,48760.85,50448.44,4312.21
2023-05-07,Litecoin,9225.7,37179.08,4712.89
2023-05-08,Bitcoin,48754.68,42717.59,5208.7
2023-05-08,Ethereum,40710.46,59708.53,7930.91
2023-05-08,Ripple,42632.37,31405.64,7356.46
2023-05-08,Litecoin,39900.22,37530.61,2358.05
2023-05-09,Bitcoin,53771.15,13504.01,2612.0
2023-05-09,Ethereum,36837.99,44830.57,8774.79
2023-05-09,Ripple,12526.29,44414.04,8538.48
2023-05-09,Litecoin,20424.99,18367.93,7325.53
2023-05-10,Bitcoin,33598.77,18677.13,5731.23
2023-05-10,Ethereum,20051.82,18549.85,1524.34
2023-05-10,Ripple,13972.89,25778.96,9325.8
2023-05-10,Litecoin,55769.04,41269.58,8389.06
2023-05-11,Bitcoin,27087.58,26788.45,2045.29
2023-05-11,Ethereum,50210.68,22199.59,4880.9
2023-05-11,Ripple,41549.81,32791.6,7514.28
2023-05-11,Litecoin,38224.71,29069.55,8395.5
2023-05-12,Bitcoin,44026.88,37007.52,9702.01
2023-05-12,Ethereum,8376.96,59902.83,2887.79
2023-05-12,Ripple,36539.58,48300.92,2083.41
2023-05-12,Litecoin,23021.78,16892.65,3853.39
2023-05-13,Bitcoin,24410.17,9565.12,2148.04
2023-05-13,Ethereum,15921.01,9912.17,3810.47
2023-05-13,Ripple,5941.41,39085.84,6343.47
2023-05-13,Litecoin,27256.24,47166.8,5463.98
2023-05-14,Bitcoin,58916.32,6330.33,7461.93
2023-05-14,Ethereum,20945.41,34505.64,8403.57
2023-05-14,Ripple,46720.37,18963.97,3225.91
2023-05-14,Litecoin,45915.95,10535.84,7816.34
2023-05-15,Bitcoin,18567.25,18119.75,9457.91
2023-05-15,Ethereum,48332.24,44756.53,8007.42
2023-05-15,Ripple,28980.18,45640.02,2489.51
2023-05-15,Litecoin,35332.11,55952.18,2168.49
2023-05-16,Bitcoin,43361.26,40234.82,4645.91
2023-05-16,Ethereum,13824.99,17418.78,4258.4
2023-05-16,Ripple,34646.11,20904.08,2592.21
2023-05-16,Litecoin,18154.06,7888.06,3461.07
2023-05-17,Bitcoin,44821.05,22133.76,2690.48
2023-05-17,Ethereum,7880.24,24875.71,6630.22
2023-05-17,Ripple,32122.13,56223.07,3895.86
2023-05-17,Litecoin,29336.1,54316.25,7639.3
2023-05-18,Bitcoin,51515.99,38487.04,9297.0
2023-05-18,Ethereum,57661.93,11189.17,1080.86
2023-05-18,Ripple,7842.48,20221.48,5606.29
2023-05-18,Litecoin,51471.01,57861.6,2705.59
2023-05-19,Bitcoin,10900.72,49148.24,2011.11
2023-05-19,Ethereum,47191.25,34249.19,4460.15
2023-05-19,Ripple,56964.34,18143.45,5655.87
2023-05-19,Litecoin,35320.5,35925.77,3775.03
2023-05-20,Bitcoin,22786.57,24681.65,4873.04
2023-05-20,Ethereum,43252.24,14549.37,5378.58
2023-05-20,Ripple,21407.37,9308.86,7407.81
2023-05-20,Litecoin,9759.54,53739.67,7513.16
2023-05-21,Bitcoin,42360.02,56969.15,7999.26
2023-05-21,Ethereum,46442.1,51709.87,1860.42
2023-05-21,Ripple,18508.05,51363.29,1757.87
2023-05-21,Litecoin,59525.41,41023.73,8892.71
2023-05-22,Bitcoin,57896.86,29982.42,6690.82
2023-05-22,Ethereum,23441.22,19105.28,2846.79
2023-05-22,Ripple,45025.05,39416.79,1513.81
2023-05-22,Litecoin,7611.98,37069.87,2674.3
2023-05-23,Bitcoin,44383.81,53010.82,6966.52
2023-05-23,Ethereum,12359.84,55349.87,1217.98
2023-05-23,Ripple,21569.95,19289.89,2323.28
2023-05-23,Litecoin,17909.25,38013.42,7405.25
2023-05-24,Bitcoin,12847.89,20062.49,1925.38
2023-05-24,Ethereum,35468.99,25187.85,7509.55
2023-05-24,Ripple,47713.37,9912.4,9787.31
2023-05-24,Litecoin,40474.66,25161.79,6227.23
2023-05-25,Bitcoin,37876.19,14427.42,3221.84
2023-05-25,Ethereum,25937.82,46260.73,1318.51
2023-05-25,Ripple,13223.01,36849.81,1348.24
2023-05-25,Litecoin,37932.85,55276.79,2025.55
2023-05-26,Bitcoin,57556.36,28053.35,4099.37
2023-05-26,Ethereum,27278.99,52418.54,5856.43
2023-05-26,Ripple,32717.0,41045.91,8771.13
2023-05-26,Litecoin,43561.02,27108.92,3821.98
2023-05-27,Bitcoin,44550.45,19004.56,9511.04
2023-05-27,Ethereum,23102.32,16800.55,7629.1
2023-05-27,Ripple,49169.84,54165.88,8953.19
2023-05-27,Litecoin,23872.78,44032.8,4736.89
2023-05-28,Bitcoin,52136.26,21612.75,3298.98
2023-05-28,Ethereum,20275.23,39033.77,4879.86
2023-05-28,Ripple,22162.64,22734.2,7245.28
2023-05-28,Litecoin,46243.51,58730.57,1598.33
2023-05-29,Bitcoin,49161.23,50146.21,9215.57
2023-05-29,Ethereum,15609.25,28093.91,5862.92
2023-05-29,Ripple,55939.16,45567.88,9531.11
2023-05-29,Litecoin,8310.68,34686.46,4202.26
2023-05-30,Bitcoin,21790.98,26416.7,9106.7
2023-05-30,Ethereum,7466.78,5169.79,1920.78
2023-05-30,Ripple,58199.41,22491.09,9795.62
2023-05-30,Litecoin,9657.36,30500.15,6004.2
