Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-04-11,Bitcoin,6344.56,16016.91,6584.29
2023-04-11,Ethereum,13194.59,38137.03,8000.92
2023-04-11,Ripple,42304.06,44802.37,8220.47
2023-04-11,Litecoin,52693.03,13211.57,9120.51
2023-04-12,Bitcoin,39524.37,20752.35,4635.76
2023-04-12,Ethereum,51441.82,58156.6,2793.66
2023-04-12,Ripple,10114.64,11394.07,1366.97
2023-04-12,Litecoin,37026.92,31104.58,2287.97
2023-04-13,Bitcoin,19484.85,21472.78,8251.77
2023-04-13,Ethereum,17118.99,45918.73,1755.38
2023-04-13,Ripple,41926.52,32179.24,9216.81
2023-04-13,Litecoin,29873.27,34574.15,2108.71
2023-04-14,Bitcoin,41847.2,42786.57,6007.4
2023-04-14,Ethereum,58846.61,38871.59,8230.69
2023-04-14,Ripple,29305.18,53722.24,4758.13
2023-04-14,Litecoin,18791.09,19561.84,4597.58
2023-04-15,Bitcoin,49086.64,6441.24,7340.35
2023-04-15,Ethereum,30264.27,43074.29,3093.63
2023-04-15,Ripple,44815.39,5759.13,9615.29
2023-04-15,Litecoin,49911.7,55694.18,3528.98
2023-04-16,Bitcoin,23733.72,48820.77,2976.17
2023-04-16,Ethereum,18064.95,11259.68,8021.46
2023-04-16,Ripple,36996.95,54290.73,5133.88
2023-04-16,Litecoin,25891.01,28202.35,2720.97
2023-04-17,Bitcoin,46722.53,35199.97,7887.32
2023-04-17,Ethereum,11237.55,54984.89,8363.53
2023-04-17,Ripple,33214.32,5357.73,4328.83
2023-04-17,Litecoin,15891.04,53229.61,6780.52
2023-04-18,Bitcoin,51098.39,15021.63,7288.17
2023-04-18,Ethereum,56688.76,51626.23,1185.75
2023-04-18,Ripple,5174.63,41627.78,6499.64
2023-04-18,Litecoin,27552.42,21760.14,6523.28
2023-04-19,Bitcoin,48488.94,10655.9,4934.21
2023-04-19,Ethereum,21464.74,7388.81,5953.82
2023-04-19,Ripple,59175.67,49725.99,4409.84
2023-04-19,Litecoin,37897.19,53636.76,9063.41
2023-04-20,Bitcoin,34771.8,43785.21,3201.37
2023-04-20,Ethereum,48301.32,44314.23,9638.58
2023-04-20,Ripple,57823.14,15578.72,4051.56
2023-04-20,Litecoin,54998.51,26296.42,6011.31
2023-04-21,Bitcoin,31766.11,48082.5,4741.53
2023-04-21,Ethereum,19055.54,25611.63,3881.69
2023-04-21,Ripple,11327.93,57287.93,6941.56
2023-04-21,Litecoin,11343.17,51100.97,1016.56
2023-04-22,Bitcoin,20731.77,46376.08,8162.37
2023-04-22,Ethereum,50244.44,26187.45,4617.45
2023-04-22,Ripple,53805.88,49038.03,4821.74
2023-04-22,Litecoin,15650.66,54721.12,1799.4
2023-04-23,Bitcoin,48270.04,49990.19,6630.12
2023-04-23,Ethereum,52735.19,27257.09,8117.46
2023-04-23,Ripple,9987.06,20645.98,7506.01
2023-04-23,Litecoin,11953.16,30742.42,3031.51
2023-04-24,Bitcoin,10783.48,40223.7,7070.04
2023-04-24,Ethereum,56423.2,19691.01,4958.38
2023-04-24,Ripple,16630.55,54775.78,3280.02
2023-04-24,Litecoin,40693.59,24368.25,7425.29
2023-04-25,Bitcoin,36772.41,17355.73,8108.52
2023-04-25,Ethereum,44297.58,5109.54,2532.21
2023-04-25,Ripple,39648.52,47375.46,2568.0
2023-04-25,Litecoin,41700.95,29441.31,6727.85
2023-04-26,Bitcoin,30513.97,48331.29,7631.28
2023-04-26,Ethereum,55904.94,20954.26,7838.26
2023-04-26,Ripple,56259.58,8639.59,5503.24
2023-04-26,Litecoin,20145.12,19685.53,1547.96
2023-04-27,Bitcoin,27019.23,38712.75,6526.01
2023-04-27,Ethereum,37910.33,23371.93,9420.49
2023-04-27,Ripple,40988.17,27808.18,9029.92
2023-04-27,Litecoin,35262.45,19571.87,3440.53
2023-04-28,Bitcoin,7043.56,42724.45,7204.47
2023-04-28,Ethereum,44524.58,57126.6,2834.53
2023-04-28,Ripple,39408.05,40643.26,7537.2
2023-04-28,Litecoin,55949.67,37631.23,8645.33
2023-04-29,Bitcoin,16148.63,41587.32,9227.68
2023-04-29,Ethereum,10687.17,47781.72,1629.54
2023-04-29,Ripple,43534.36,10851.54,2196.62
2023-04-29,Litecoin,36985.96,7272.25,3323.42
