Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-05-31,Bitcoin,59427.92,11872.45,6907.86
2023-05-31,Ethereum,6569.0,25073.93,8932.2
2023-05-31,Ripple,53402.12,51948.89,5235.11
2023-05-31,Litecoin,17055.48,40510.13,6927.37
2023-06-01,Bitcoin,25298.03,14416.22,6783.47
2023-06-01,Ethereum,6969.82,55268.78,1199.41
2023-06-01,Ripple,15767.68,16468.01,1207.9
2023-06-01,Litecoin,51724.41,23330.68,6789.51
2023-06-02,Bitcoin,5993.79,11989.19,3891.6
2023-06-02,Ethereum,10417.34,11775.86,4312.97
2023-06-02,Ripple,18965.85,10921.79,6260.41
2023-06-02,Litecoin,12476.86,58004.9,6541.4
2023-06-03,Bitcoin,52071.0,24091.32,3008.14
2023-06-03,Ethereum,55747.53,49727.7,9478.64
2023-06-03,Ripple,39426.5,26603.01,4553.46
2023-06-03,Litecoin,51009.5,11466.31,9397.93
2023-06-04,Bitcoin,29311.1,48517.74,8947.99
2023-06-04,Ethereum,16531.15,37712.53,9664.9
2023-06-04,Ripple,14629.42,54390.37,5421.96
2023-06-04,Litecoin,5619.99,15484.32,3816.02
2023-06-05,Bitcoin,22085.71,54519.93,8145.3
2023-06-05,Ethereum,10702.37,29370.2,9132.88
2023-06-05,Ripple,53586.74,37870.48,9247.1
2023-06-05,Litecoin,24269.48,13606.05,5295.09
2023-06-06,Bitcoin,31261.97,17288.94,4883.85
2023-06-06,Ethereum,46552.76,26805.04,5670.42
2023-06-06,Ripple,12321.68,49077.89,4357.49
2023-06-06,Litecoin,31268.47,19153.42,7293.2
2023-06-07,Bitcoin,57372.72,26086.28,8309.2
2023-06-07,Ethereum,29489.27,52981.55,5647.23
2023-06-07,Ripple,21751.97,9854.74,5210.34
2023-06-07,Litecoin,8726.35,8608.13,7975.28
2023-06-08,Bitcoin,37858.35,5532.86,5257.66
2023-06-08,Ethereum,30480.3,53682.34,3012.41
2023-06-08,Ripple,44404.24,28708.3,5298.68
2023-06-08,Litecoin,50906.7,55290.6,3833.5
2023-06-09,Bitcoin,12084.96,23730.59,8813.71
2023-06-09,Ethereum,19203.18,20184.11,4490.39
2023-06-09,Ripple,30285.85,9486.47,8991.29
2023-06-09,Litecoin,15503.09,22485.32,9434.96
2023-06-10,Bitcoin,6700.05,8087.28,9155.56
2023-06-10,Ethereum,41303.94,28302.58,9976.09
2023-06-10,Ripple,18413.98,51126.57,3093.03
2023-06-10,Litecoin,29043.92,22366.69,1950.95
2023-06-11,Bitcoin,57147.79,18573.22,1743.36
2023-06-11,Ethereum,8125.65,38747.02,9839.61
2023-06-11,Ripple,9804.48,52820.63,7863.96
2023-06-11,Litecoin,27931.75,36654.94,5710.6
2023-06-12,Bitcoin,5183.21,47017.29,9266.0
2023-06-12,Ethereum,59050.82,26482.97,4360.24
2023-06-12,Ripple,39154.79,40223.4,7305.6
2023-06-12,Litecoin,39257.71,15503.13,6307.06
2023-06-13,Bitcoin,6208.36,23776.64,5496.14
2023-06-13,Ethereum,57198.71,39655.01,7728.79
2023-06-13,Ripple,57865.67,16011.03,4999.92
2023-06-13,Litecoin,41548.63,26852.81,2856.63
2023-06-14,Bitcoin,18931.0,39806.6,4010.11
2023-06-14,Ethereum,23065.49,10353.67,6089.05
2023-06-14,Ripple,38533.17,51070.33,6418.13
2023-06-14,Litecoin,18820.96,58804.01,9203.2
2023-06-15,Bitcoin,34821.51,54366.56,1797.86
2023-06-15,Ethereum,48499.5,9813.37,6444.83
2023-06-15,Ripple,45251.35,11774.95,1399.39
2023-06-15,Litecoin,10925.01,34170.26,3146.6
2023-06-16,Bitcoin,13231.67,46316.9,4122.87
2023-06-16,Ethereum,22119.52,52166.91,2515.85
2023-06-16,Ripple,49682.93,27505.95,8870.91
2023-06-16,Litecoin,23527.59,8990.8,1145.29
2023-06-17,Bitcoin,43244.45,42163.06,6092.56
2023-06-17,Ethereum,34988.81,41385.86,7496.87
